17477375,대림중앙시장,
17547018,이촌한강공원,
13086792,우면산,
4096207,용산구문화체육센터,
8317410,현대원서공원,
4094942,구로아트밸리,
13152142,평화의 소녀상,
13148399,평화의 소녀상,
12145557,아르코미술관,
4798574,Trunk Gallery,
13147833,평화의 소녀상,
17689634,서울교육박물관,
19102907,청운문학도서관,
10625757,Myungsung Presbyterian Church,
7892121,한의약 박물관,
13152119,평화의 소녀상,
19625796,당남리섬,
10686449,남구로시장,
8077234,도봉문화정보도서관,
4427662,분재박물관,
15016407,한강시민공원 광나루수영장,
19886349,평화의소녀상,
16661010,평화의소녀상,
4095581,겸재정선미술관,
15853246,남대문로지하쇼핑센터,
19449203,마장동 먹자골목,
14147985,옥인 교회,
15079467,성균소극장,
8591974,영화사,
15686792,와이즈파크,
3805417,코리아나 화장박물관,
3805419,한국미술박물관,
16661040,평화의소녀상,
14975672,동대문운동장기념관,
18970240,평화의소녀상,
18970249,평화의소녀상,
4438686,강동구립해공도서관,
17450157,망우리공원,
4438687,세곡문화센터,
19449213,창신동 네팔 음식거리,
15603703,삼천사,
3821647,꼭두 박물관,
4094797,갤러리 아라리오 서울,
19782798,전차381호,
12447861,종각지하쇼핑센터,
16661024,평화의소녀상,
3805397,서울대학교 규장각,
4427650,울트라건축박물관,
592492,한국 금융사 박물관,
4094927,Gallery Luminarie,
17412135,보광사,
19243838,종로신진시장,
16656495,푸른수목원,
17426959,법련사,
7272329,호림 박물관 신사 분관,
6941864,서울남산국악당,
7154824,대림 시장,
17477369,영등포근린공원,
20051102,아트뮤제,
7891916,아르코 예술 극장,
14148633,남대문 커뮤니티 라운지,
3957021,북촌 동양 문화 박물관,
17612400,이태원 부군당,
19453158,연화사,
20086120,은평 한옥마을,
4438772,서울특별시 교육연구정보원,
19453151,일감호,
4427620,화정박물관,
4438496,서울아트센터 공평갤러리,
4095620,경운박물관,
17713840,송파관광정보센터,
19055883,다이노스타,
19175142,서울함 공원,
4798598,관훈갤러리,
17450310,서울한방진흥센터,
4427533,한원미술관,
592504,호림 박물관 신림 본관,
15573660,망원정지,
3805584,이화장,
17837293,Seonjeongneung,
12657697,양천향교,
6732940,빛타래,
11879406,인사동관광안내소,
8077812,강남아트홀,
19254790,영동전통시장,
4798827,Olympus Hall,
4438517,웅갤러리,
13155689,평화의 소녀상,
4094957,갤러리 사비나,
3805624,북촌 생활사박물관,
7892033,방학동 도깨비시장,
4095605,박을복자수박물관,
4095656,The Korea Museum of Modern Costume,
12118155,열린극장,
19835159,현대카드 트래블 라이브러리,
10388757,북한산성 방문자센터,
7891913,난지미술창작스튜디오,
4798571,Yoon Gallery,
15101852,몽골타운,
10620641,문정전각갤러리,
4427657,생명과학체험박물관,
4095644,티벳박물관,
3805545,명인박물관,
4427534,플라토,
4068112,Andong Soju Traditional Food Museum,
4094818,Dongduk Art Gallery,
17517431,신림동 순대타운,
20283457,용답 푸르미르 상가시장,
4438706,개포2문화센터,
12673929,소악루,
17689645,홍난파가옥,
17816846,광통교,
4427661,갤러리현대,
17838738,인왕사,
15210009,거여공원,
17527697,일본국제교류기금 서울문화센터,
4094800,공근혜 갤러리,
13151875,평화의 소녀상,
1772732,한국 지역정보 센터,
4067949,아트선재센터,
12847901,마포주민편익시설,
13688351,House of Go Hui-dong,
4095668,산악박물관,
592515,마루존 김치 백화점,
19366663,노들섬,
4094887,Art Center Nabi,
7892011,길동생태공원,
4438637,강북문화예술회관,
4068109,Iron Museum,
7980918,도산 안창호 기념관,
8121809,한국잡지박물관,
3805530,평강 성서유물 박물관,
13553491,종로홍보관,
4094832,Gallery Now,
3805589,서울 의릉,
17517030,장충동 족발골목,
4798570,Deokwon Gallery,
3805398,초전섬유ㆍ퀼트박물관,
4095493,Mongchon Museum of History,
7892561,경희대학교 한의학역사박물관,
13222799,목은선생영당,
4798548,Tiovivo Shindorim Store,
19408763,씨제이 이앤엠센터,
592442,아차산성,
13086721,최규하대통령가옥,
13155667,평화의 소녀상,
13798962,주한중국문화원,
7891989,윤봉길 의사 기념관,
13151759,평화의 소녀상,
4798687,Bona Museum/Gallery,
18185581,Hullyeonwon Park,
4095637,단국대학교석주선기념박물관,
17838732,브이센터,
4068006,Daewonsa Tibet Museum,
13152278,평화의 소녀상,
8449230,나들길,
14450638,호압사,
13152481,평화의 소녀상,
4094840,Moin Gallery,
13147874,평화의 소녀상,
19596031,엔터식스,
8121817,경희대학교 자연사박물관,
13151896,평화의 소녀상,
